ticker,action_count,initiate_count,exit_count,hold_count,avg_forward_5d_pct,avg_forward_20d_pct,avg_forward_60d_pct,doc_count,claim_count,price_coverage_pct
AAPL,16,1,0,15,0.9,3.21,6.97,7,8,97.3
AMD,19,2,2,15,0.56,-0.3,-5.94,8,8,97.3
AMZN,21,1,0,20,0.6,4.21,12.66,4,4,97.3
AVGO,21,2,1,18,2.11,9.11,14.03,9,9,97.3
CRM,0,0,0,0,,,,8,8,97.3
CRWD,4,2,2,0,2.27,2.49,23.63,9,9,97.3
GOOGL,21,1,0,20,0.3,2.69,7.72,11,11,97.3
INTC,6,3,2,1,2.35,9.88,22.51,10,11,97.3
META,18,1,0,17,0.33,3.48,4.86,6,6,97.3
MSFT,22,1,0,21,-0.15,0.9,1.43,7,7,97.3
NOW,0,0,0,0,,,,5,5,97.3
NVDA,21,2,1,18,-0.2,4.57,11.26,7,7,97.3
PLTR,0,0,0,0,,,,6,6,97.3
QCOM,18,3,2,13,0.93,-0.05,-2.88,7,9,97.3
TSLA,20,1,0,19,2.59,14.13,47.01,7,7,97.3
